Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z,L-A1-X,L-A1-Y,L-A1-Z,L-A2-X,L-A2-Y,L-A2-Z,L-A3-X,L-A3-Y,L-A3-Z,L-B1-X,L-B1-Y,L-B1-Z,L-B2-X,L-B2-Y,L-B2-Z,L-B3-X,L-B3-Y,L-B3-Z,L-C1-X,L-C1-Y,L-C1-Z,L-C2-X,L-C2-Y,L-C2-Z,L-C3-X,L-C3-Y,L-C3-Z,L-D1-X,L-D1-Y,L-D1-Z,L-D2-X,L-D2-Y,L-D2-Z,L-D3-X,L-D3-Y,L-D3-Z,L-E1-X,L-E1-Y,L-E1-Z,L-E2-X,L-E2-Y,L-E2-Z,L-E3-X,L-E3-Y,L-E3-Z,L-Wan-nei-X,L-Wan-nei-Y,L-Wan-nei-Z,L-Wan-1-X,L-Wan-1-Y,L-Wan-1-Z,L-Wan-2-X,L-Wan-2-Y,L-Wan-2-Z,L-Wan-wai-X,L-Wan-wai-Y,L-Wan-wai-Z,R-A1-X,R-A1-Y,R-A1-Z,R-A2-X,R-A2-Y,R-A2-Z,R-A3-X,R-A3-Y,R-A3-Z,R-B1-X,R-B1-Y,R-B1-Z,R-B2-X,R-B2-Y,R-B2-Z,R-B3-X,R-B3-Y,R-B3-Z,R-C1-X,R-C1-Y,R-C1-Z,R-C2-X,R-C2-Y,R-C2-Z,R-C3-X,R-C3-Y,R-C3-Z,R-D1-X,R-D1-Y,R-D1-Z,R-D2-X,R-D2-Y,R-D2-Z,R-D3-X,R-D3-Y,R-D3-Z,R-E1-X,R-E1-Y,R-E1-Z,R-E2-X,R-E2-Y,R-E2-Z,R-E3-X,R-E3-Y,R-E3-Z,R-Wan-nei-X,R-Wan-nei-Y,R-Wan-nei-Z,R-Wan-1-X,R-Wan-1-Y,R-Wan-1-Z,R-Wan-2-X,R-Wan-2-Y,R-Wan-2-Z,R-Wan-wai-X,R-Wan-wai-Y,R-Wan-wai-Z
205.278137,103.990356,753.238281,179.964401,97.749748,665.411987,160.75531,-433.576019,758.578918,176.176895,-398.814941,812.697571,225.14389,25.678923,873.210449,253.240494,17.852102,877.016602,286.903961,2.240477,869.673706,205.83429,38.46656,842.603333,202.239578,13.423112,860.981689,212.478058,-14.184589,875.881165,215.742767,38.212833,824.219421,207.789536,15.312225,833.609314,208.211563,-25.640554,855.556824,212.770844,27.255062,813.178528,204.812393,1.634671,822.987183,205.823975,-37.369694,836.181885,213.446762,2.07288,806.417175,205.982849,-22.288279,809.244568,206.964859,-49.583374,816.051697,309.360046,-23.676804,845.256897,272.560394,-55.851215,858.830017,273.254456,-69.546753,831.53009,286.483246,-69.988892,797.875,172.733414,160.945801,725.372192,178.780869,191.457199,747.188171,188.152191,224.505203,757.44635,185.554474,169.849075,705.082581,155.912262,161.16333,699.817139,131.740845,189.195847,712.020752,186.480377,179.778625,694.546021,158.871429,165.054703,678.532227,130.48288,198.640747,682.398438,nan,nan,nan,149.71785,179.234573,660.740356,129.333878,215.699051,670.109741,170.501297,189.165344,642.977966,148.507263,206.612534,639.381958,145.467453,235.132736,656.975098,187.694809,265.031769,759.046631,148.295593,248.865204,732.689636,160.329727,274.430573,711.015015,189.605759,301.786285,701.80426
205.291641,103.955452,753.267029,179.985397,97.723587,665.438416,160.959244,-433.595856,758.590149,176.321106,-398.827026,812.69342,225.163971,25.639067,873.249817,253.317902,17.874868,877.021729,286.949219,2.251307,869.683655,205.900162,38.471436,842.569397,202.312393,13.42321,860.998718,212.529709,-14.191644,875.919678,215.796387,38.174511,824.237488,207.868759,15.297384,833.577087,208.205383,-25.682022,855.539307,212.84581,27.250946,813.184937,204.874557,1.625225,823.024963,205.862,-37.373383,836.210144,213.469757,2.063033,806.443787,206.061157,-22.312485,809.26825,207.037033,-49.573128,816.062927,309.430328,-23.717747,845.268677,272.63858,-55.852592,858.814636,273.347412,-69.558693,831.598328,286.577942,-69.921974,797.868469,172.660278,160.826111,725.503601,178.677261,191.319397,747.300293,188.046371,224.374664,757.522583,185.458069,169.740936,705.215698,155.884537,161.038528,699.882874,131.735214,189.069641,712.107361,186.408356,179.614655,694.696533,158.90712,164.883179,678.702759,130.40387,198.387451,682.631958,nan,nan,nan,149.752808,179.008286,660.858276,129.319611,215.48941,670.169556,170.476608,188.971512,643.089844,148.411606,206.37561,639.521912,145.466797,234.874954,656.984619,187.644318,264.992096,759.088257,148.256012,248.758514,732.74823,160.31395,274.282135,711.050903,189.568817,301.63028,701.832764
205.334015,103.958206,753.277771,180.039795,97.715416,665.462036,161.132401,-433.628052,758.6073,176.470444,-398.876953,812.69696,225.231628,25.60705,873.261292,253.323074,17.847,877.054626,287.034515,2.311764,869.656616,205.919815,38.379654,842.609558,202.36235,13.402802,860.999329,212.614349,-14.24671,875.947205,215.802216,38.170349,824.242249,207.889709,15.268777,833.607178,208.307404,-25.698767,855.601196,212.83519,27.228489,813.195679,204.902771,1.639319,822.947388,205.926208,-37.41325,836.222412,213.512924,2.04139,806.444336,206.1008,-22.383453,809.276733,207.078079,-49.598366,816.075256,309.465088,-23.733061,845.288696,272.714417,-55.827015,858.856445,273.388672,-69.535904,831.591736,286.637756,-69.961861,797.919495,172.59433,160.71077,725.63269,178.580826,191.156006,747.478821,187.954727,224.236481,757.659973,185.388702,169.594193,705.344543,155.847366,160.887466,699.972717,131.733124,188.899414,712.173767,186.412003,179.504227,694.760681,158.920456,164.700928,678.802673,130.414139,198.230774,682.591919,nan,nan,nan,149.75235,178.780167,660.998901,129.319458,215.292892,670.221619,170.493271,188.788239,643.157959,148.455887,206.185944,639.582825,145.490189,234.707703,657.024536,187.600006,264.835571,759.133179,148.1828,248.559143,732.808838,160.269699,274.101318,711.06134,189.553925,301.476257,701.852417
205.371475,103.926025,753.280945,180.050781,97.686142,665.47699,161.290695,-433.652771,758.581665,176.642624,-398.88501,812.714355,225.266602,25.584656,873.280945,253.398636,17.821533,877.06073,287.054993,2.308001,869.675415,205.945969,38.379314,842.646484,202.405304,13.347048,861.022827,212.694,-14.250584,875.931702,215.892609,38.130936,824.242981,207.963348,15.235598,833.635132,208.386719,-25.732569,855.632629,212.895477,27.216286,813.166687,204.942352,1.53725,823.055542,206.007751,-37.462746,836.275391,213.512909,1.982266,806.483765,206.15538,-22.428347,809.311401,207.140808,-49.665516,816.134644,309.500183,-23.705873,845.276184,272.804932,-55.858257,858.888672,273.486115,-69.569923,831.586182,286.658783,-69.987724,797.902954,172.566238,160.554337,725.752563,178.516083,191.046494,747.58667,187.970093,224.037277,757.738586,185.454788,169.559784,705.462769,155.866562,160.741348,700.087158,131.649597,188.699631,712.267944,186.481674,179.388992,694.862915,158.976151,164.511353,678.87854,130.431458,198.061279,682.737488,nan,nan,nan,149.798248,178.604858,661.087036,129.322937,215.041962,670.296509,170.585526,188.550583,643.248047,148.508347,205.980392,639.634888,145.24176,234.848083,657.002625,187.594986,264.713013,759.173462,148.215836,248.439911,732.840393,160.241959,273.952728,711.131958,189.57785,301.380829,701.976379
205.395523,103.914368,753.306946,180.10257,97.636345,665.497925,161.488113,-433.704376,758.5802,176.843048,-398.933136,812.69812,225.310959,25.552288,873.284058,253.443619,17.751755,877.117615,287.102875,2.280865,869.6828,206.003311,38.327541,842.642578,202.477432,13.322901,861.037415,212.74234,-14.312345,875.980286,215.914658,38.07399,824.242249,208.017975,15.162039,833.585266,208.424118,-25.770935,855.666931,212.871384,27.161419,813.200012,204.953369,1.498767,823.090881,206.08783,-37.498383,836.251221,213.53595,1.956179,806.446655,206.221069,-22.460388,809.335754,207.222382,-49.710476,816.16095,309.528168,-23.701735,845.266357,272.877563,-55.897739,858.874939,273.575592,-69.588684,831.609375,286.761902,-69.946236,797.910095,172.613464,160.383881,725.873535,178.413757,190.767227,747.790039,187.952835,223.934418,757.841858,185.442001,169.371964,705.626892,155.951431,160.516876,700.178589,131.733078,188.483627,712.312866,186.444397,179.105286,695.02002,159.023743,164.329224,678.995605,130.41864,197.822144,682.75592,nan,nan,nan,149.925613,178.42337,661.14093,129.352753,214.871063,670.322266,170.610794,188.39267,643.331055,148.513992,205.796555,639.684631,145.49324,234.319336,657.177368,187.592194,264.561371,759.207397,148.179245,248.262451,732.919128,160.211624,273.78421,711.182312,189.476761,301.191437,701.999695
205.429398,103.879242,753.308655,180.141174,97.600243,665.488647,161.673233,-433.743683,758.546814,177.000366,-398.970154,812.688232,225.327393,25.449501,873.341675,253.525253,17.7635,877.147888,287.187714,2.292811,869.663452,206.093124,38.314629,842.65094,202.505051,13.256542,861.07373,212.809235,-14.355457,876.011841,215.942932,38.020241,824.248413,208.065292,15.095281,833.60144,208.458832,-25.818958,855.599365,212.957642,27.152016,813.202026,205.072754,1.461122,823.090027,206.148987,-37.545456,836.28949,213.586777,1.903278,806.474854,206.229172,-22.525106,809.360352,207.303726,-49.735508,816.179016,309.56723,-23.747829,845.268738,272.956268,-55.88092,858.863831,273.599121,-69.601006,831.629639,286.836243,-69.962379,797.876282,172.663086,160.200012,725.920654,178.580795,190.718918,747.813843,187.99881,223.829895,757.950623,185.537415,169.348892,705.728577,156.087646,160.362915,700.248474,131.772873,188.27063,712.373291,186.51564,179.00264,695.062073,159.101227,164.139679,679.047485,130.481339,197.546188,682.851135,nan,nan,nan,149.962341,178.170944,661.198975,129.386688,214.622925,670.378784,170.660049,188.25943,643.30365,148.566086,205.594696,639.725403,145.469269,234.09906,657.25647,187.553299,264.396027,759.297241,148.21315,248.094299,732.946289,160.204712,273.578369,711.245667,189.451401,301.010376,702.000305
205.426453,103.84227,753.30896,180.162842,97.543053,665.532104,161.85141,-433.794891,758.527283,177.166107,-399.018433,812.668335,225.366562,25.372471,873.38092,253.536484,17.706944,877.117004,287.263184,2.211299,869.667297,206.071793,38.214062,842.654358,202.536667,13.169489,861.082458,212.846649,-14.446712,876.025635,215.957504,37.975246,824.259949,208.125061,15.02747,833.592896,208.544342,-25.936995,855.664795,212.973007,27.064688,813.22345,205.059738,1.468544,823.012207,206.166489,-37.588055,836.290588,213.648834,1.81853,806.460022,206.290695,-22.572092,809.354004,207.346649,-49.825878,816.217957,309.606323,-23.721081,845.250244,273.029968,-55.924458,858.855896,273.715942,-69.598228,831.63855,286.893097,-70.000275,797.917542,172.708008,159.98912,726.060608,178.41626,190.413162,747.983582,187.968002,223.677536,758.022461,185.500137,169.272736,705.875549,156.250656,160.242279,700.27887,131.911041,188.040771,712.393311,186.606491,178.879456,695.10083,159.171692,163.869797,679.145569,130.523834,197.296051,682.966431,nan,nan,nan,150.051331,177.945145,661.23822,129.444534,214.358795,670.434143,170.705399,187.993118,643.424805,148.67691,205.340958,639.773132,145.451141,233.843628,657.290771,187.53006,264.226501,759.335815,148.211121,247.813278,733.031799,160.223312,273.4086,711.261047,189.508011,300.842957,702.073242
205.454056,103.795708,753.337524,180.182419,97.495415,665.540527,162.034988,-433.83194,758.498108,177.326996,-399.072388,812.65155,225.389084,25.267471,873.404297,253.560913,17.606796,877.142761,287.303253,2.212676,869.657898,206.119278,38.180092,842.664062,202.586136,13.101895,861.095032,212.901688,-14.487451,876.045166,216.011475,37.892315,824.268616,208.154434,14.916824,833.629822,208.578339,-25.98728,855.649536,213.039337,26.988903,813.219055,205.132309,1.310751,823.114014,206.243149,-37.691185,836.315979,213.657928,1.749222,806.536743,206.319717,-22.626833,809.4021,207.416077,-49.87529,816.212952,309.658691,-23.709816,845.215393,273.073273,-55.967255,858.843323,273.78006,-69.620193,831.609863,286.930725,-70.034935,797.921753,172.871048,159.830505,726.162231,178.486023,190.208282,748.061462,188.012756,223.521652,758.033875,185.611374,169.269638,705.951294,156.361053,160.017288,700.375305,131.954147,187.7444,712.503296,186.801926,178.754974,695.114685,159.312943,163.663315,679.18988,130.616531,197.067322,682.980347,nan,nan,nan,150.140686,177.693054,661.296082,129.491013,214.081665,670.475281,170.828156,187.821198,643.40686,148.703461,205.116821,639.796875,145.484863,233.660187,657.381042,187.570618,264.094879,759.343445,148.251556,247.613358,733.014832,160.217972,273.220001,711.312988,189.508118,300.739075,702.111755
205.472336,103.768639,753.316895,180.225098,97.482292,665.527344,162.214172,-433.904968,758.454712,177.469894,-399.114746,812.635193,225.405441,25.132078,873.412231,253.591553,17.579868,877.153687,287.353546,2.15984,869.696411,206.091812,38.099018,842.729065,202.585114,12.996696,861.164062,212.941956,-14.578084,876.057373,216.020309,37.781025,824.307617,208.160294,14.853322,833.658997,208.676727,-26.065517,855.644287,213.059174,26.89263,813.229126,205.123657,1.298402,823.036255,206.326569,-37.731342,836.344788,213.70546,1.687374,806.564209,206.369064,-22.682026,809.401123,207.479721,-49.945057,816.249512,309.756012,-23.66062,845.161072,273.184967,-56.006645,858.831177,273.899811,-69.628082,831.564148,287.005707,-70.041428,797.844116,172.910416,159.648605,726.249329,178.722672,190.187027,748.026611,188.002655,223.342712,758.082764,185.663589,169.176514,706.018433,156.47821,159.774628,700.472107,131.982498,187.483994,712.5578,186.873245,178.619873,695.170593,159.422791,163.483719,679.206665,130.662537,196.801041,682.979004,nan,nan,nan,150.291672,177.466919,661.329224,129.531036,213.829834,670.5,170.909256,187.569763,643.458679,148.75766,204.876862,639.857056,145.483948,233.38472,657.388123,187.5271,263.913696,759.399109,148.232391,247.402359,733.055786,160.172607,273.068695,711.328613,189.408615,300.510437,702.171082
205.531784,103.753746,753.310852,180.255066,97.426743,665.504883,162.360794,-433.962891,758.416626,177.631943,-399.16806,812.559998,225.452957,25.105743,873.442627,253.616257,17.492361,877.195068,287.377686,2.126128,869.685303,206.052322,37.99305,842.727417,202.634521,12.902536,861.196533,213.012497,-14.67063,876.086914,216.047882,37.729298,824.299866,208.183273,14.758622,833.645508,208.735565,-26.156719,855.627319,213.065155,26.787727,813.280762,205.178268,1.205768,823.049988,206.359863,-37.807755,836.346558,213.681305,1.595823,806.566528,206.397812,-22.816175,809.448975,207.515121,-50.007,816.262268,309.820251,-23.717297,845.154541,273.282379,-56.039516,858.837891,273.960815,-69.677238,831.544067,287.064423,-70.028305,797.820068,172.947006,159.407028,726.311218,178.774796,190.046967,748.031494,188.05545,223.187012,758.073853,185.728012,169.0905,706.11615,156.598892,159.599075,700.565735,132.032822,187.262543,712.646484,186.956543,178.45549,695.184326,159.556,163.274109,679.282959,130.77774,196.608047,682.950317,nan,nan,nan,150.376022,177.237915,661.366089,129.619995,213.606964,670.511353,171.042648,187.389389,643.50531,148.821289,204.681396,639.899597,145.57695,233.209305,657.360535,187.535294,263.766815,759.388184,148.218582,247.209808,733.115601,160.169144,272.89035,711.356262,189.377762,300.388611,702.195801
