Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z,L-A1-X,L-A1-Y,L-A1-Z,L-A2-X,L-A2-Y,L-A2-Z,L-A3-X,L-A3-Y,L-A3-Z,L-B1-X,L-B1-Y,L-B1-Z,L-B2-X,L-B2-Y,L-B2-Z,L-B3-X,L-B3-Y,L-B3-Z,L-C1-X,L-C1-Y,L-C1-Z,L-C2-X,L-C2-Y,L-C2-Z,L-C3-X,L-C3-Y,L-C3-Z,L-D1-X,L-D1-Y,L-D1-Z,L-D2-X,L-D2-Y,L-D2-Z,L-D3-X,L-D3-Y,L-D3-Z,L-E1-X,L-E1-Y,L-E1-Z,L-E2-X,L-E2-Y,L-E2-Z,L-E3-X,L-E3-Y,L-E3-Z,L-Wan-nei-X,L-Wan-nei-Y,L-Wan-nei-Z,L-Wan-1-X,L-Wan-1-Y,L-Wan-1-Z,L-Wan-2-X,L-Wan-2-Y,L-Wan-2-Z,L-Wan-wai-X,L-Wan-wai-Y,L-Wan-wai-Z,R-A1-X,R-A1-Y,R-A1-Z,R-A2-X,R-A2-Y,R-A2-Z,R-A3-X,R-A3-Y,R-A3-Z,R-B2-X,R-B2-Y,R-B2-Z,R-B3-X,R-B3-Y,R-B3-Z,R-C2-X,R-C2-Y,R-C2-Z,R-C3-X,R-C3-Y,R-C3-Z,R-D2-X,R-D2-Y,R-D2-Z,R-D3-X,R-D3-Y,R-D3-Z,R-E1-X,R-E1-Y,R-E1-Z,R-E2-X,R-E2-Y,R-E2-Z,R-E3-X,R-E3-Y,R-E3-Z,R-Wan-nei-X,R-Wan-nei-Y,R-Wan-nei-Z,R-Wan-1-X,R-Wan-1-Y,R-Wan-1-Z,R-Wan-2-X,R-Wan-2-Y,R-Wan-2-Z,R-Wan-wai-X,R-Wan-wai-Y,R-Wan-wai-Z
303.727264,125.871971,755.676636,281.644928,112.254623,667.994751,352.452087,-410.947449,781.69928,360.842743,-372.034912,834.436035,326.487274,-162.976349,805.698853,359.53186,-158.072556,803.204651,380.332703,-148.032104,779.023499,318.693329,-206.099915,760.614807,316.611298,-229.173615,740.429688,351.401611,-224.007202,730.463684,314.423279,-155.447266,758.93158,293.745453,-178.171478,754.200745,321.590454,-206.406677,729.683411,311.507019,-127.714157,754.215027,299.995422,-154.741302,744.187683,316.415588,-183.411865,717.158752,297.89801,-126.886253,734.67572,306.143707,-141.037491,716.061951,316.390381,-158.558502,699.529907,405.251465,-134.671875,749.376038,389.543549,-175.34993,725.419495,386.482391,-159.450226,699.787964,386.394379,-129.433899,681.44574,269.227722,150.531265,697.076111,271.608765,177.141327,713.294128,272.990295,209.128159,731.505859,246.66037,148.055801,668.522766,219.951614,170.5784,685.919678,260.46759,157.78241,652.039124,222.988129,182.148132,657.341919,256.622009,170.368134,635.635559,223.78775,197.379761,643.422729,269.71994,184.077133,627.792419,246.307678,194.676224,618.239929,234.721481,220.473328,636.33606,261.03537,252.589005,741.240906,226.53569,229.365936,713.4599,232.879181,259.835724,693.690735,258.228485,292.113678,686.457153
303.785583,125.938698,755.663513,281.678162,112.34462,667.989685,352.188965,-410.960815,781.631531,360.634888,-372.020477,834.403564,326.355164,-162.980942,805.684875,359.377075,-158.071396,803.223389,380.219849,-147.976807,778.998291,318.613098,-206.123322,760.602478,316.546509,-229.219543,740.452026,351.337402,-223.994797,730.478455,314.258545,-155.424622,758.911072,293.67923,-178.15007,754.195068,321.458374,-206.562195,729.527466,311.406555,-127.690552,754.155701,299.892395,-154.726868,744.168762,316.361267,-183.442093,717.177917,297.948151,-126.860992,734.702698,306.024353,-141.149796,716.093506,316.356293,-158.68721,699.483948,405.110626,-134.548492,749.386353,389.487732,-175.305908,725.439819,386.378876,-159.393524,699.762634,386.314209,-129.495544,681.39502,269.234161,150.453186,697.42511,271.76474,177.234756,713.408203,273.150879,209.265015,731.635681,246.576019,148.07933,668.979736,219.822311,170.59816,686.345459,260.232941,157.650345,652.384583,222.785278,182.145981,657.705688,256.27066,170.162476,635.977051,223.564148,197.353378,643.848022,269.649078,183.774063,628.174622,246.33609,194.399155,618.671021,234.813934,220.256744,636.555054,261.15802,252.651489,741.352051,226.590515,229.512177,713.707947,232.953354,259.898743,693.842102,258.317566,292.133423,686.529358
303.843475,125.977707,755.64386,281.705902,112.426743,667.992859,351.972534,-410.933228,781.560791,360.47699,-372.010284,834.282471,326.26236,-162.956894,805.609314,359.266846,-158.054733,803.187561,380.118988,-147.899048,778.975403,318.5867,-206.103592,760.62677,316.532196,-229.213623,740.426147,351.290863,-223.945526,730.461853,314.200958,-155.368225,758.912964,293.587891,-178.101486,754.215454,321.422913,-206.527191,729.485657,311.309875,-127.674553,754.12854,299.800995,-154.683655,744.138184,316.311707,-183.452209,717.166321,297.976624,-126.887344,734.764526,305.878815,-141.233093,716.070251,316.246948,-158.829575,699.398926,404.97052,-134.456406,749.30896,389.38443,-175.249802,725.431274,386.245697,-159.355545,699.771057,386.115875,-129.576416,681.344055,269.381226,150.530777,697.559021,271.943115,177.330933,713.579163,273.359406,209.308075,731.77356,246.450684,148.040451,669.368896,219.791229,170.646011,686.814331,260.009369,157.529251,652.647339,222.552109,182.124283,658.136536,255.866013,169.930283,636.301208,223.390503,197.385376,644.178955,269.619293,183.580688,628.579407,246.139008,194.12204,619.032043,234.785324,220.115448,636.880676,261.334808,252.725418,741.431091,226.671371,229.606537,713.970398,233.020401,259.938721,693.987549,258.361542,292.141418,686.653625
303.850647,126.020805,755.69043,281.709595,112.47464,668.031189,351.749817,-410.914093,781.501099,360.27597,-372.012054,834.277649,326.188507,-162.916367,805.595825,359.194794,-158.001648,803.134521,379.971344,-147.853073,778.994446,318.524506,-206.102966,760.596924,316.604248,-229.117676,740.393433,351.237061,-223.938461,730.441284,314.063782,-155.364517,758.943115,293.509979,-178.038696,754.244629,321.282471,-206.551422,729.533447,311.227386,-127.633873,754.103027,299.65976,-154.675903,744.132996,316.204895,-183.409698,717.170288,298.00882,-126.927094,734.859741,305.766113,-141.296753,716.118164,316.125946,-158.918259,699.332703,404.825165,-134.367798,749.227905,389.297394,-175.133636,725.431152,386.142944,-159.269562,699.761719,385.972504,-129.452011,681.36261,269.65329,150.648056,697.644104,272.189392,177.461365,713.68042,273.559723,209.430038,731.827393,246.38089,147.940292,669.813416,219.810425,170.618011,687.22168,259.738922,157.384491,652.930054,222.38472,182.079529,658.502991,255.525391,169.789398,636.421936,223.175842,197.336777,644.580627,269.450592,183.431595,628.854553,246.020294,193.910309,619.336548,234.664017,220.030121,637.153625,261.529602,252.789658,741.599182,226.730148,229.707718,714.286011,233.062317,259.975922,694.233276,258.467407,292.191895,686.764587
303.902985,126.055283,755.695129,281.700012,112.551956,668.006042,351.557068,-410.894073,781.443176,360.079407,-371.974121,834.196533,326.107727,-162.951874,805.553833,359.111877,-157.956253,803.068176,379.863678,-147.767181,778.908142,318.478973,-206.100433,760.588501,316.547791,-229.108398,740.343567,351.19281,-223.810043,730.386475,314.020538,-155.278183,758.930664,293.438904,-177.986801,754.279053,321.185272,-206.489212,729.524536,311.154968,-127.594345,754.100342,299.56543,-154.642181,744.159058,316.083008,-183.359512,717.170227,298.08493,-126.831223,734.946411,305.615601,-141.282242,716.117859,315.982819,-158.968979,699.305786,404.673492,-134.293442,749.187439,389.148285,-175.027542,725.402893,385.992432,-159.243896,699.696899,385.905884,-129.202042,681.370483,269.874054,150.77034,697.726196,272.316772,177.520218,713.755432,273.731628,209.476913,731.940674,246.317535,147.903381,670.111267,219.75769,170.614822,687.629272,259.426331,157.300079,653.11908,222.216034,182.127716,658.776123,255.108337,169.619659,636.596863,222.952194,197.362518,644.885681,269.400726,183.397232,629.042969,245.845871,193.810577,619.565979,234.596191,219.951599,637.361206,261.676117,252.840652,741.71405,226.867233,229.855011,714.491577,233.09549,260.032928,694.421875,258.402161,292.174194,686.838867
303.921204,126.082558,755.676636,281.729584,112.609756,668.028259,351.396698,-410.876068,781.375916,359.957886,-371.997742,834.127197,326.043701,-162.925842,805.521301,359.05188,-157.898926,803.048889,379.727966,-147.551804,778.752625,318.406006,-206.063705,760.580383,316.492554,-229.063004,740.336426,351.081451,-223.837326,730.326843,313.800751,-155.34433,759.034485,293.357178,-177.965988,754.282593,321.031799,-206.493759,729.429688,311.052338,-127.567749,754.077087,299.474915,-154.634918,744.17688,315.874817,-183.293793,717.155151,298.142517,-126.720909,735.104858,305.548767,-141.171036,716.207336,315.779388,-158.93103,699.289001,404.499329,-134.245041,749.091736,389.008728,-174.947205,725.329041,385.807617,-159.166306,699.655823,385.701172,-129.162048,681.298828,269.868164,150.684052,697.792053,272.410156,177.503571,713.761108,273.861572,209.480957,731.985535,246.177979,147.584061,670.310852,219.776428,170.655777,687.87439,258.413971,157.228241,653.618469,222.042908,182.190659,658.962463,254.623291,169.524887,636.653809,222.722061,197.43248,645.187439,269.393463,183.322891,629.231079,245.674423,193.735092,619.816528,234.43988,219.913437,637.5448,261.867493,252.897842,741.801941,226.894821,229.886398,714.711731,233.127625,260.075165,694.581726,258.492279,292.22699,686.904724
304.030212,126.122131,755.667542,281.748535,112.655724,668.054138,351.231964,-410.876404,781.296387,359.875549,-371.988403,834.044861,325.940491,-162.916229,805.477112,359.044891,-157.84729,803.001465,379.633667,-147.550552,778.679443,318.337524,-206.034378,760.495178,316.330261,-228.996338,740.262817,350.949738,-223.745422,730.15802,313.733612,-155.297012,759.021423,293.230072,-177.917923,754.256958,320.910645,-206.373367,729.322632,310.994904,-127.511284,754.082458,299.291473,-154.54158,744.158936,315.735962,-183.201233,717.063416,298.240601,-126.516312,735.191589,305.376282,-140.988846,716.313599,315.594299,-158.768448,699.279663,404.359497,-134.22551,749.003784,388.832947,-174.880508,725.201233,385.618195,-159.089844,699.551147,385.557617,-129.038086,681.046509,269.93219,150.729645,697.656799,272.48584,177.541672,713.709351,273.964111,209.52652,731.940796,246.006134,147.628693,670.36145,219.712891,170.716064,688.065979,258.113281,157.234238,653.633606,221.86116,182.322098,659.097839,254.16069,169.52594,636.634766,222.376236,197.573746,645.392883,269.102783,183.454742,629.359741,245.253555,193.774246,619.981689,234.180313,220.02713,637.802063,261.977234,252.918427,741.863708,227.006317,229.993088,714.81604,233.140762,260.177429,694.71283,258.655121,292.256042,686.876587
304.073669,126.174408,755.645081,281.748383,112.693634,668.025696,351.076782,-410.878021,781.23999,359.762543,-371.99942,834.021729,325.918915,-162.915771,805.43219,358.970795,-157.82608,802.955322,379.5896,-147.612,778.736755,318.213593,-205.945099,760.427917,316.289185,-228.899857,740.127502,350.788391,-223.681335,730.032654,313.666687,-155.233185,759.007507,293.129761,-177.781769,754.194946,320.747894,-206.230347,729.241577,310.921387,-127.451645,754.049011,299.144226,-154.400101,744.052979,315.567169,-183.067963,716.950073,298.295105,-126.320221,735.300354,305.302063,-140.775909,716.383667,315.458191,-158.627502,699.305115,404.232452,-134.072205,748.933533,388.687073,-174.779648,725.041138,385.457611,-158.977142,699.440979,385.327637,-129.017227,681.116943,269.994507,150.785126,697.402405,272.536224,177.537872,713.563965,274.150208,209.4142,731.770996,245.876099,147.635925,670.41571,219.668564,170.766312,688.251343,257.737244,157.330902,653.495239,221.597672,182.522446,659.227051,253.597229,169.691986,636.46875,222.066879,197.816895,645.536133,269.531372,183.909637,629.669739,244.675659,194.052551,619.954102,233.822083,220.286026,637.958618,262.126068,252.887756,741.865845,227.128113,230.059647,714.92627,233.178345,260.228668,694.820496,258.668762,292.260254,686.944092
304.125244,126.173706,755.661438,281.789215,112.759857,668.029724,350.912781,-410.859528,781.196472,359.645538,-371.959625,833.954651,325.84668,-162.861069,805.402039,358.927246,-157.815292,802.939819,379.497925,-147.58078,778.666626,318.136993,-205.937973,760.310181,316.167908,-228.84169,740.039062,350.620972,-223.60672,729.849792,313.584961,-155.22229,758.990295,293.040161,-177.698059,754.117249,320.598297,-206.140594,729.100159,310.825104,-127.40081,754.007874,299.078033,-154.317368,744.019775,315.412323,-183.006744,716.783447,298.305786,-126.080635,735.416565,305.225342,-140.60585,716.397644,315.267914,-158.456787,699.225159,404.150848,-134.142883,748.882507,388.51889,-174.81842,724.935974,385.305817,-158.833298,699.389832,385.244263,-128.653748,681.124207,270.057404,150.866959,696.995667,272.695648,177.456787,713.351074,274.300629,209.399277,731.68103,245.889893,148.035034,670.492798,219.611923,170.785446,688.481506,257.354492,157.53627,653.315369,221.282394,182.762161,659.308044,252.817612,169.911697,636.187256,221.528839,198.209137,645.712891,268.914673,184.564163,629.726685,243.543137,194.633148,619.745483,233.124924,220.768738,638.146667,262.349121,252.818466,741.881409,227.213165,230.113388,715.161011,233.184555,260.285065,695.052368,258.693359,292.291992,687.111755
304.197906,126.226578,755.646912,281.796875,112.797684,668.027588,350.760101,-410.839478,781.183044,359.516266,-371.938843,833.930054,325.82605,-162.826477,805.366089,358.902863,-157.763275,802.918579,379.431427,-147.54744,778.61676,318.00238,-205.875565,760.269531,315.95578,-228.851212,739.957886,350.539795,-223.58316,729.756226,313.594269,-155.172302,758.912537,292.90976,-177.667099,754.046387,320.43985,-206.10849,728.960571,310.755066,-127.362923,753.950684,298.9552,-154.300598,743.932922,315.243927,-182.888809,716.749268,298.414093,-125.911919,735.402039,305.162598,-140.475952,716.422852,315.139709,-158.446854,699.251221,404.033234,-134.006256,748.81543,388.423462,-174.71315,724.839233,385.162506,-158.772934,699.314453,385.094482,-128.593994,681.079773,270.239899,151.061386,696.467407,272.912537,177.514984,713.019775,274.526947,209.287537,731.527588,245.777832,148.152069,670.470032,219.615829,170.784897,688.71051,256.868134,157.804871,652.986084,220.899002,183.019699,659.3974,252.016495,170.343491,635.864014,220.809738,198.592819,645.924438,267.465149,185.290161,629.435486,241.912216,195.673447,619.472656,232.141479,221.525223,638.290344,262.667694,252.867493,741.900757,227.365082,230.121078,715.351746,233.185257,260.386017,695.348572,258.848999,292.350464,687.128662
