Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z,R-A1-X,R-A1-Y,R-A1-Z,R-A2-X,R-A2-Y,R-A2-Z,R-A3-X,R-A3-Y,R-A3-Z,R-B1-X,R-B1-Y,R-B1-Z,R-B2-X,R-B2-Y,R-B2-Z,R-B3-X,R-B3-Y,R-B3-Z,R-C1-X,R-C1-Y,R-C1-Z,R-C2-X,R-C2-Y,R-C2-Z,R-C3-X,R-C3-Y,R-C3-Z,R-D1-X,R-D1-Y,R-D1-Z,R-D2-X,R-D2-Y,R-D2-Z,R-D3-X,R-D3-Y,R-D3-Z,R-E1-X,R-E1-Y,R-E1-Z,R-E2-X,R-E2-Y,R-E2-Z,R-E3-X,R-E3-Y,R-E3-Z,R-Wan-nei-X,R-Wan-nei-Y,R-Wan-nei-Z,R-Wan-1-X,R-Wan-1-Y,R-Wan-1-Z,R-Wan-2-X,R-Wan-2-Y,R-Wan-2-Z,R-Wan-wai-X,R-Wan-wai-Y,R-Wan-wai-Z
215.500656,145.444626,753.30542,192.800079,133.723495,665.454773,225.373779,-393.729553,776.853516,236.93129,-355.496643,829.922668,179.466187,180.981033,693.032837,184.554169,208.910385,716.231873,189.876129,240.849716,730.978333,190.645782,192.100372,672.605774,162.989777,179.958099,667.927307,136.935333,203.363007,684.600403,189.866043,200.440491,661.201721,162.556458,186.731659,644.548584,132.705399,217.193237,655.856384,nan,nan,nan,150.005005,203.25087,629.323669,128.774002,236.0495,647.02356,158.805389,219.804169,602.664307,140.968826,239.449997,611.407776,141.656342,261.492523,635.912598,183.294693,282.145172,739.32251,146.91124,262.318756,711.836609,154.950958,292.69223,692.718933,179.910263,324.880554,686.692871
215.537781,145.39122,753.317627,192.891373,133.690109,665.433228,225.546814,-393.791199,776.75708,237.094879,-355.568909,829.835876,179.563782,180.926203,693.151672,184.59052,208.849523,716.281474,189.89711,240.843882,731.030762,190.730204,191.883245,672.780538,163.171773,179.708323,668.099976,136.997142,203.212285,684.760722,189.972458,200.450175,661.341553,162.790019,186.722951,644.61613,132.820114,217.129745,655.833455,nan,nan,nan,150.170227,203.149002,629.375122,128.838643,235.9599,647.02242,159.286509,219.77949,602.778056,141.066635,239.295787,611.446879,141.684896,261.413605,635.881592,183.294245,282.10732,739.330831,146.949651,262.300405,711.849264,154.934179,292.653503,692.719849,180.064306,324.847402,686.673197
215.472931,145.251099,753.277039,192.957687,133.66098,665.43103,225.698029,-393.863861,776.672852,237.23053,-355.619354,829.772949,179.686361,180.878652,693.23527,184.644384,208.802968,716.318909,189.926605,240.832179,731.061015,190.761729,191.585439,672.961792,163.365829,179.48025,668.220662,137.091039,203.084468,684.882731,190.085144,200.462443,661.470866,162.985001,186.693848,644.669902,132.946676,217.059697,655.822978,nan,nan,nan,150.347504,203.085673,629.411601,128.908295,235.876572,647.001363,159.617976,219.742762,602.89268,141.174988,239.170446,611.473755,141.738576,261.321218,635.879008,183.299179,282.06012,739.348572,146.979736,262.277578,711.857239,154.935328,292.614502,692.722148,180.16184,324.809479,686.653259
215.578369,145.224243,753.240967,192.94873,133.594833,665.432983,225.860184,-393.915924,776.598022,237.363968,-355.737091,829.707092,179.85789,180.743357,693.28422,184.728963,208.75297,716.339233,189.955002,240.79277,731.080139,190.785263,191.25294,673.099955,163.567968,179.263082,668.295207,137.200877,202.951167,684.986165,190.216619,200.553884,661.60612,163.190613,186.695338,644.706807,133.068965,216.977331,655.829488,nan,nan,nan,150.505096,203.044957,629.423014,129.001012,235.797134,646.970988,159.845118,219.703776,603.014404,141.307454,239.087591,611.477417,141.788254,261.246134,635.875326,183.307236,282.007935,739.365804,147.005788,262.257568,711.854411,154.945964,292.578562,692.725667,180.231328,324.766612,686.631978
215.610428,145.157578,753.259705,193.009903,133.552475,665.426392,225.998474,-393.953949,776.508545,237.518097,-355.788177,829.635925,180.019694,180.665248,693.318461,184.76565,208.762497,716.31602,189.999817,240.754196,731.078308,190.878204,191.162506,673.116007,163.747569,179.177175,668.382914,137.320272,202.846395,685.039632,190.336772,200.83935,661.731628,163.347672,186.693095,644.737752,133.155457,216.901535,655.83134,nan,nan,nan,150.648346,203.017431,629.411621,129.062693,235.724909,646.927551,160.016902,219.671326,603.157796,141.408066,239.006195,611.493225,141.829595,261.168742,635.901774,183.317179,281.956217,739.383341,147.015778,262.201385,711.858236,154.965973,292.53363,692.739889,179.982976,324.703705,686.756063
215.646362,145.11972,753.260254,193.056778,133.502075,665.435669,226.16539,-394.041107,776.393127,237.659317,-355.842224,829.559326,180.152125,180.527659,693.375305,184.799627,208.767756,716.284058,190.025401,240.697027,731.09139,191.016729,191.130213,673.088359,163.905945,179.087646,668.467672,137.408925,202.73376,685.109456,190.411652,201.118429,661.824687,163.485794,186.715632,644.737732,133.205851,216.834727,655.814819,nan,nan,nan,150.73908,202.989354,629.38737,129.120458,235.668482,646.908651,160.222707,219.63061,603.300374,141.517543,238.917658,611.49235,141.844213,261.117086,635.904643,183.328115,281.903585,739.393046,147.028488,262.149038,711.863932,154.986003,292.493856,692.751851,179.751643,324.625031,686.880371
215.692596,145.062485,753.277405,193.080002,133.467102,665.449951,226.300461,-394.106293,776.311096,237.823883,-355.921814,829.399292,180.202001,180.477102,693.429667,184.800649,208.78508,716.258362,190.040675,240.637838,731.085632,191.110687,191.078801,673.107483,164.027639,179.020554,668.545308,137.474477,202.636383,685.177083,190.445943,201.328135,661.873983,163.524297,186.709279,644.739624,133.233724,216.780075,655.805074,nan,nan,nan,150.79154,202.970561,629.366699,129.143066,235.627299,646.919169,160.389704,219.558273,603.418823,141.59818,238.815704,611.516052,141.860041,261.056224,635.920634,183.341939,281.854858,739.404419,147.04277,262.104258,711.878357,155.014058,292.452393,692.765788,179.674815,324.56308,686.928426
215.760925,145.036026,753.236938,193.096817,133.426315,665.419739,226.46196,-394.159363,776.226746,237.971802,-355.96048,829.297241,180.226354,180.310562,693.470113,184.735977,208.688487,716.252279,190.040115,240.585139,731.083435,191.141418,191.038422,673.10557,164.06308,178.955694,668.611003,137.496511,202.550741,685.258891,190.441518,201.326508,661.877319,163.530741,186.681005,644.732137,133.233312,216.757278,655.79187,nan,nan,nan,150.799103,202.947322,629.376892,129.142288,235.592972,646.945028,160.537231,219.479914,603.525248,141.640691,238.728368,611.542257,141.839727,260.986206,635.933167,183.365555,281.814992,739.412842,147.047404,262.062063,711.89679,155.024358,292.41038,692.783813,179.833196,324.530904,686.864258
215.78392,144.995956,753.234741,193.125275,133.388184,665.431946,226.599274,-394.18454,776.104858,238.076584,-356.03009,829.234436,180.163091,180.254898,693.512187,184.636531,208.601695,716.276225,190.018636,240.517654,731.076355,191.099721,190.966934,673.150594,164.01975,178.880793,668.657104,137.479289,202.490972,685.337769,190.39473,201.305186,661.912679,163.478511,186.637934,644.777852,133.207789,216.732402,655.825012,nan,nan,nan,150.744273,202.902247,629.421346,129.094579,235.557348,646.992757,160.610626,219.394684,603.625956,141.641658,238.658147,611.599019,141.82045,260.934316,635.956177,183.35644,281.762583,739.434143,147.026316,262.031728,711.925273,155.033198,292.352071,692.80601,180.062536,324.52594,686.777995
215.77774,144.966812,753.245728,193.130051,133.371338,665.411987,226.698029,-394.246216,775.986084,238.201324,-356.096069,829.127808,180.071498,180.187963,693.563558,184.49231,208.493912,716.30658,189.980443,240.472402,731.090881,191.020111,190.941172,673.175781,163.91983,178.814341,668.720296,137.43045,202.466771,685.397603,190.329575,201.262639,661.934367,163.424917,186.587326,644.805298,133.16035,216.718892,655.861043,nan,nan,nan,150.666524,202.863388,629.47288,129.029277,235.52387,647.048218,160.633046,219.3225,603.758036,141.617396,238.599482,611.642924,141.781316,260.895742,635.976481,183.344569,281.708364,739.458842,146.983261,261.994537,711.960856,155.006454,292.303029,692.844503,179.89916,324.467601,686.872131
