Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z,L-A1-X,L-A1-Y,L-A1-Z,L-A2-X,L-A2-Y,L-A2-Z,L-A3-X,L-A3-Y,L-A3-Z,L-B1-X,L-B1-Y,L-B1-Z,L-B2-X,L-B2-Y,L-B2-Z,L-B3-X,L-B3-Y,L-B3-Z,L-C1-X,L-C1-Y,L-C1-Z,L-C2-X,L-C2-Y,L-C2-Z,L-C3-X,L-C3-Y,L-C3-Z,L-D1-X,L-D1-Y,L-D1-Z,L-D2-X,L-D2-Y,L-D2-Z,L-D3-X,L-D3-Y,L-D3-Z,L-E1-X,L-E1-Y,L-E1-Z,L-E2-X,L-E2-Y,L-E2-Z,L-E3-X,L-E3-Y,L-E3-Z,L-Wan-nei-X,L-Wan-nei-Y,L-Wan-nei-Z,L-Wan-1-X,L-Wan-1-Y,L-Wan-1-Z,L-Wan-2-X,L-Wan-2-Y,L-Wan-2-Z,L-Wan-wai-X,L-Wan-wai-Y,L-Wan-wai-Z,R-A1-X,R-A1-Y,R-A1-Z,R-A2-X,R-A2-Y,R-A2-Z,R-A3-X,R-A3-Y,R-A3-Z,R-B1-X,R-B1-Y,R-B1-Z,R-B2-X,R-B2-Y,R-B2-Z,R-B3-X,R-B3-Y,R-B3-Z,R-C1-X,R-C1-Y,R-C1-Z,R-C2-X,R-C2-Y,R-C2-Z,R-C3-X,R-C3-Y,R-C3-Z,R-D1-X,R-D1-Y,R-D1-Z,R-D2-X,R-D2-Y,R-D2-Z,R-D3-X,R-D3-Y,R-D3-Z,R-E1-X,R-E1-Y,R-E1-Z,R-E2-X,R-E2-Y,R-E2-Z,R-E3-X,R-E3-Y,R-E3-Z,R-Wan-nei-X,R-Wan-nei-Y,R-Wan-nei-Z,R-Wan-1-X,R-Wan-1-Y,R-Wan-1-Z,R-Wan-2-X,R-Wan-2-Y,R-Wan-2-Z,R-Wan-wai-X,R-Wan-wai-Y,R-Wan-wai-Z
198.181458,96.712715,750.753235,175.731125,86.707886,662.436218,197.623917,-442.556641,766.822754,209.075012,-405.495483,820.575073,189.009048,-164.705658,788.718628,222.434341,-164.511536,792.159546,246.530319,-156.815704,770.010437,183.303879,-183.512451,760.605591,175.607376,-206.867615,738.913025,202.348206,-218.091339,716.960327,182.694458,-154.384262,769.255005,173.019623,-170.290161,747.889343,189.652893,-193.185486,710.053589,183.29689,-138.444473,762.472107,174.400635,-155.763412,739.512329,187.258575,-174.176941,703.303589,179.031738,-134.110519,744.222778,176.845047,-143.871155,717.935059,187.085205,-153.198196,694.553101,275.690247,-145.112885,746.137695,259.261627,-173.983994,710.141968,256.935791,-151.112869,689.778015,260.51767,-116.179649,683.960815,135.660034,95.956078,718.566589,136.071152,125.692352,740.782715,140.895721,159.276367,754.221619,150.834167,103.495117,697.871582,121.349602,95.765053,690.65332,93.523621,121.511185,701.55603,157.980392,120.860176,694.70105,135.454239,104.170456,675.332703,99.845528,131.085403,673.004517,nan,nan,nan,136.85498,117.69735,659.293518,104.013084,145.126373,657.532837,154.100037,140.534195,660.088074,132.023315,139.245834,640.434204,114.675735,166.521439,649.215576,137.786636,203.796875,756.766418,102.216965,182.177307,725.596924,114.011948,208.596909,705.88623,141.119308,236.802597,697.389343
198.157333,96.727158,750.763489,175.711868,86.676346,662.463135,197.605042,-442.562164,766.800537,209.049408,-405.494568,820.594238,189.011612,-164.741058,788.732971,222.431915,-164.525131,792.17804,246.520752,-156.852982,770.007812,183.3284,-183.474396,760.628845,175.566895,-206.843918,738.865967,202.282944,-218.13295,716.986816,182.681503,-154.389877,769.235229,172.956497,-170.27829,747.856445,189.641922,-193.193695,710.05658,183.372131,-138.439896,762.433411,174.396973,-155.697327,739.478394,187.212631,-174.060516,703.234497,179.039047,-134.06778,744.235535,176.814468,-143.851227,717.983459,187.05452,-153.227737,694.602417,275.658936,-145.164902,746.135071,259.256012,-174.001556,710.136902,256.936829,-151.156616,689.782776,260.511139,-116.221054,683.981445,135.646851,95.943802,718.583374,136.071426,125.684425,740.793396,140.913284,159.231461,754.227356,150.849472,103.505661,697.8797,121.32679,95.769798,690.65979,93.482346,121.493767,701.612732,157.947159,120.855125,694.708984,135.424606,104.17292,675.338379,99.820396,131.067062,673.021973,nan,nan,nan,136.853989,117.694313,659.284424,103.975548,145.126282,657.509033,154.114822,140.569382,660.05365,131.994263,139.194794,640.44458,114.693817,166.512421,649.240784,137.834167,203.820282,756.748352,102.258003,182.18483,725.588501,113.977234,208.578217,705.899231,141.127502,236.789032,697.401123
198.15332,96.702263,750.760864,175.695786,86.670685,662.446045,197.586243,-442.557892,766.809814,209.021744,-405.524292,820.562134,188.968521,-164.696671,788.730164,222.404129,-164.548889,792.164978,246.513824,-156.856644,770.008484,183.296692,-183.462402,760.657532,175.571014,-206.866089,738.917053,202.315353,-218.14006,716.988586,182.68277,-154.384781,769.206604,172.976562,-170.280655,747.829163,189.621704,-193.184616,710.038696,183.30484,-138.4879,762.450806,174.377106,-155.61557,739.421692,187.156815,-173.918381,703.137695,179.042465,-134.078979,744.268005,176.827347,-143.807373,717.981934,187.030014,-153.235794,694.584534,275.662689,-145.135742,746.135071,259.223969,-173.956055,710.138123,256.921021,-151.151733,689.794128,260.501465,-116.134933,683.964478,135.649841,95.934448,718.595886,136.060898,125.689873,740.79248,140.951416,159.261353,754.221802,150.818802,103.499504,697.857483,121.310921,95.713989,690.667969,93.486763,121.487785,701.606445,157.949921,120.831589,694.685547,135.395691,104.132278,675.354004,99.799866,131.049194,673.054443,nan,nan,nan,136.838898,117.691154,659.317322,103.985458,145.116547,657.516602,154.100067,140.534317,660.08783,132.022385,139.211945,640.447327,114.67086,166.579956,649.196594,137.832123,203.803925,756.760254,102.238678,182.167938,725.592712,114.004532,208.580109,705.884216,141.119324,236.819168,697.428589
198.178589,96.734398,750.729614,175.726898,86.673645,662.433472,197.629837,-442.516022,766.798889,208.991562,-405.526001,820.545715,188.951202,-164.713043,788.721497,222.402542,-164.514908,792.178833,246.500473,-156.854736,770.009827,183.286697,-183.50209,760.618286,175.553177,-206.870361,738.892578,202.297577,-218.13266,716.957825,182.636871,-154.397659,769.203369,173.020157,-170.274399,747.80188,189.626175,-193.177567,710.017944,183.264694,-138.559692,762.464172,174.34552,-155.555344,739.372559,187.064011,-173.804626,703.058472,179.060928,-134.066986,744.256287,176.731491,-143.836395,718.017334,187.019821,-153.246033,694.579651,275.652405,-145.129898,746.122986,259.235077,-173.993515,710.136536,256.908447,-151.15329,689.8078,260.54248,-116.033897,683.99115,135.62439,95.914108,718.610107,136.108704,125.718933,740.740295,140.850159,159.321152,754.11145,150.777954,103.454712,697.893921,121.295097,95.712265,690.686035,93.469154,121.465034,701.618103,157.914185,120.918655,694.77832,135.398422,104.15493,675.312744,99.817711,131.0616,673.036255,nan,nan,nan,136.852753,117.698753,659.307983,103.929855,145.060104,657.576416,154.056091,140.488144,660.080505,131.992157,139.170944,640.443115,114.674988,166.458298,649.244629,137.871414,203.798599,756.741089,102.198746,182.196899,725.606934,113.963997,208.570633,705.907288,141.222458,236.816437,697.367432
198.149338,96.692955,750.777405,175.714386,86.657341,662.425781,197.508667,-442.574982,766.780762,208.978104,-405.543915,820.545532,188.941238,-164.762619,788.704224,222.392212,-164.547867,792.138,246.467941,-156.870193,769.975281,183.312393,-183.442673,760.586365,175.523071,-206.871048,738.895325,202.263718,-218.159119,716.96698,182.648514,-154.401276,769.181702,172.943527,-170.273666,747.793396,189.613159,-193.18158,710.011353,183.284714,-138.632217,762.554199,174.224609,-155.464249,739.21344,187.004501,-173.674377,703.014343,179.007431,-134.052811,744.257202,176.714218,-143.805603,717.983887,186.948105,-153.233856,694.572754,275.627411,-145.176956,746.130371,259.207642,-174.036926,710.099609,256.890686,-151.156372,689.77655,260.452057,-116.226196,683.964783,135.63118,95.920403,718.62384,136.060471,125.686653,740.80011,140.906815,159.264297,754.238647,150.771286,103.459785,697.908508,121.30571,95.731316,690.675903,93.478683,121.431862,701.654419,157.913742,120.849152,694.752197,135.393723,104.157906,675.363525,99.809044,131.030655,673.080017,nan,nan,nan,136.86026,117.682503,659.335999,103.96936,145.056061,657.524353,154.098312,140.600677,660.120117,132.057983,139.144485,640.445251,114.668076,166.429153,649.250122,137.729431,203.836655,756.716614,102.207336,182.17215,725.575256,113.966423,208.575424,705.884033,141.16243,236.784683,697.345154
198.141464,96.699745,750.742371,175.708466,86.66507,662.434326,197.51059,-442.574066,766.783569,208.943253,-405.538727,820.557983,188.911179,-164.776062,788.705139,222.390396,-164.564362,792.116699,246.477783,-156.869675,769.992188,183.300522,-183.478653,760.601868,175.531204,-206.87944,738.889404,202.232101,-218.165024,716.95166,182.641403,-154.407059,769.161621,172.958572,-170.305511,747.809082,189.577515,-193.197525,709.997498,183.304916,-138.655563,762.563965,174.260498,-155.374725,739.240967,186.975754,-173.552643,702.914307,178.949509,-134.080475,744.236328,176.636581,-143.847672,718.008789,186.911331,-153.210281,694.545044,275.615936,-145.174606,746.111511,259.18985,-174.017258,710.110474,256.885742,-151.193375,689.771545,260.458923,-116.243439,683.9328,135.618439,95.903709,718.607178,135.508789,125.744057,741.177246,140.832672,159.326675,754.108398,150.787064,103.489273,697.878235,121.291534,95.745422,690.677917,93.473549,121.480217,701.570923,157.870865,120.833435,694.74292,135.40863,104.168564,675.341858,99.801819,130.997421,673.047485,nan,nan,nan,136.887054,117.685806,659.349487,103.972763,145.028275,657.567322,154.088547,140.542801,660.108643,132.037567,139.112503,640.464783,114.67318,166.407608,649.20166,137.833466,203.851517,756.691956,102.17675,182.195908,725.58905,113.966835,208.564194,705.90033,141.207718,236.790573,697.340149
198.174759,96.703979,750.730591,175.690292,86.631233,662.433838,197.502579,-442.570068,766.767273,208.92749,-405.555847,820.542786,188.941818,-164.736603,788.694519,222.392258,-164.574219,792.114197,246.48645,-156.874847,769.983643,183.281448,-183.486954,760.587952,175.518326,-206.894257,738.882996,202.248535,-218.144684,716.945129,182.59729,-154.406052,769.203735,172.956299,-170.292358,747.786438,189.582443,-193.239532,709.982544,183.314392,-138.649338,762.574829,174.251953,-155.354782,739.238892,186.923248,-173.452637,702.875,178.928726,-134.037979,744.239868,176.647141,-143.790375,718.007812,186.899841,-153.236145,694.541443,275.62204,-145.184555,746.105652,259.19223,-174.029251,710.097046,256.882935,-151.184723,689.771362,260.444275,-116.2397,683.942932,135.624924,95.907532,718.590088,135.502655,125.739967,741.160828,140.846359,159.350174,754.101868,150.755371,103.452301,697.868042,121.230873,95.710976,690.675842,93.443909,121.447449,701.570679,157.913437,120.850441,694.719299,135.412857,104.130981,675.329468,99.799911,131.002884,673.024292,nan,nan,nan,136.909729,117.659111,659.346497,103.99678,145.021545,657.535034,154.098862,140.608429,660.145935,132.071945,139.141373,640.473083,114.681541,166.371857,649.200439,137.762405,203.820877,756.733765,102.209862,182.173492,725.552795,113.968399,208.583038,705.876282,141.133545,236.751129,697.357788
198.161209,96.69355,750.754211,175.695267,86.643074,662.431641,197.487854,-442.56485,766.78595,208.926086,-405.566315,820.55188,188.908417,-164.787689,788.711365,222.380432,-164.565933,792.10437,246.474335,-156.851318,769.965942,183.307907,-183.480499,760.53772,175.528366,-206.893265,738.897156,202.253998,-218.145554,716.956421,182.620804,-154.428101,769.199158,172.90979,-170.298096,747.833801,189.573074,-193.222809,710.006592,183.29808,-138.717361,762.609985,174.184784,-155.329239,739.247498,186.900391,-173.459702,702.859863,178.944672,-134.063354,744.257019,176.594238,-143.801575,717.98761,186.867691,-153.226349,694.522766,275.58255,-145.180862,746.121521,259.178772,-174.04097,710.109131,256.852081,-151.161697,689.776489,260.410309,-116.265419,683.953613,135.60405,95.922821,718.571167,135.486282,125.7295,741.136963,140.812546,159.302292,754.081848,150.757095,103.449203,697.869812,121.232277,95.668625,690.657043,93.452751,121.45005,701.532532,157.885223,120.88446,694.690247,135.365723,104.132339,675.308533,99.790215,131.006638,673.005005,nan,nan,nan,136.930801,117.648369,659.351135,104.011978,145.001205,657.514526,154.172211,140.658859,660.121643,132.071838,139.081558,640.441162,114.694595,166.376465,649.1698,137.752365,203.838959,756.679565,102.195923,182.202271,725.514465,113.964005,208.583801,705.809753,141.155258,236.767822,697.274414
198.156006,96.680672,750.750122,175.686111,86.62619,662.427063,197.522812,-442.53476,766.793945,208.926102,-405.566437,820.526733,188.917236,-164.754044,788.685181,222.37149,-164.562195,792.117004,246.464172,-156.904892,769.973755,183.258041,-183.508591,760.608948,175.508713,-206.897995,738.925598,202.246445,-218.137344,716.958618,182.594788,-154.435822,769.20813,172.950867,-170.315918,747.792969,189.559464,-193.220291,710.020935,183.375763,-138.702774,762.60083,174.174133,-155.299271,739.232727,186.840164,-173.402634,702.823975,178.929474,-134.039825,744.240967,176.573776,-143.782181,717.999634,186.825958,-153.24939,694.53064,275.587738,-145.171448,746.10675,259.185455,-174.051926,710.101135,256.851929,-151.167313,689.804138,260.405304,-116.278343,683.934082,135.560974,95.893402,718.571594,136.016296,125.67424,740.729065,140.84697,159.200455,754.197693,150.75238,103.471855,697.851929,121.215286,95.69249,690.64032,93.407997,121.445923,701.504211,157.898682,120.875816,694.637207,135.386597,104.13446,675.315369,99.76693,131.014343,672.973938,nan,nan,nan,136.930542,117.646675,659.32605,104.003593,144.989517,657.476624,154.142975,140.646469,660.135559,132.097519,139.070831,640.420593,114.697647,166.376114,649.118225,137.734085,203.80928,756.660828,102.177078,182.197632,725.47052,113.961029,208.543732,705.786926,141.076706,236.725525,697.271606
198.127167,96.672836,750.763306,175.670151,86.606461,662.435364,197.45929,-442.604065,766.77417,208.915955,-405.570557,820.559631,188.889297,-164.776306,788.696838,222.392059,-164.587952,792.114502,246.462372,-156.927124,769.984375,183.270584,-183.50061,760.599731,175.499756,-206.896164,738.906433,202.246155,-218.184479,716.967468,182.613693,-154.419342,769.19989,172.915024,-170.300095,747.826477,189.586517,-193.213989,710.029907,183.293594,-138.746384,762.625732,174.210831,-155.270294,739.22406,186.819092,-173.359055,702.781433,178.910339,-134.024506,744.257996,176.54924,-143.784149,718.032043,186.82605,-153.226868,694.526672,275.605103,-145.183777,746.122681,259.165192,-174.024612,710.115601,256.82016,-151.197144,689.798401,260.537689,-116.127365,683.970337,135.550278,95.877594,718.526245,135.492416,125.69355,741.065979,140.820694,159.260162,754.002075,150.710541,103.461632,697.797852,121.227554,95.684929,690.591675,93.375717,121.414619,701.499756,157.88121,120.830696,694.601257,135.349915,104.128555,675.230286,99.769104,131.009201,672.935303,nan,nan,nan,136.90712,117.619926,659.307983,104.018074,144.994553,657.465088,154.115555,140.519974,660.092163,132.089966,139.084244,640.425842,114.700882,166.377869,649.09906,137.774445,203.774582,756.608521,102.187981,182.156204,725.444214,113.951317,208.566406,705.766418,141.019119,236.692642,697.276428
